Rank,Code,Company,Price,1 Day,1 Week,1 Month,1 Year,Sector,Mkt Cap ($)
1,BHP,BHPBHP Group Ltd,$45.50,+0.26%,+1.27%,+2.02%,+19.80%,Materials,230.63B
2,CBA,CBACommonwealth Bank of Australia,$99.93,+1.52%,+3.02%,+0.08%,-4.37%,Financials,167.44B
3,CSL,CSLCSL Ltd,$244.00,+2.48%,+4.12%,-0.96%,-12.34%,Health Care,117.87B
4,NAB,NABNational Australia Bank Ltd,$29.06,+1.72%,+3.05%,+0.35%,-9.61%,Financials,90.93B
5,ANZ,ANZANZ Group Holdings Ltd,$25.60,+0.91%,+3.27%,+0.43%,-0.31%,Financials,76.94B
6,WBC,WBCWestpac Banking Corporation,$21.50,+1.56%,+4.52%,+1.75%,-10.08%,Financials,75.45B
7,FMG,FMGFortescue Metals Group Ltd,$23.23,-0.09%,+4.59%,+10.30%,+52.03%,Materials,71.52B
8,WDS,WDSWoodside Energy Group Ltd,$34.01,+0.47%,-2.55%,-6.18%,-7.43%,Energy,64.58B
9,MQG,MQGMacquarie Group Ltd,$163.24,+1.78%,+1.14%,-2.75%,-1.93%,Financials,63.09B
10,WES,WESWesfarmers Ltd,$52.32,+1.73%,+3.87%,-0.44%,+16.19%,Consumer Discretionary,59.33B
11,RIO,RIORIO Tinto Ltd,$122.60,+0.69%,+4.19%,+6.76%,+35.38%,Materials,45.51B
12,TLS,TLSTelstra Group Ltd,$3.87,+0.52%,+1.58%,+0.78%,-1.78%,Communication Services,44.72B
13,WOW,WOWWoolworths Group Ltd,$35.50,+1.14%,+0.91%,-3.72%,+10.76%,Consumer Staples,43.37B
14,GMG,GMGGoodman Group,$22.04,+1.71%,+9.38%,+1.71%,+29.88%,Real Estate,41.86B
15,TCL,TCLTransurban Group,$12.36,+2.49%,+4.66%,-2.45%,-7.76%,Industrials,38.17B
16,ALL,ALLAristocrat Leisure Ltd,$39.32,+0.56%,+0.49%,-3.15%,+5.22%,Consumer Discretionary,25.5B
17,STO,STOSantos Ltd,$7.42,-1.20%,-4.75%,-5.72%,-5.12%,Energy,24.1B
